table_name,column_name,data_type,is_nullable,column_default
OTP,id,uuid,NO,uuid_generate_v4()
OTP,email,character varying,NO,null
OTP,otp,character varying,NO,null
OTP,attempts,integer,YES,0
OTP,createdat,timestamp without time zone,YES,CURRENT_TIMESTAMP
admin_action_logs,log_id,integer,NO,nextval('admin_action_logs_log_id_seq'::regclass)
admin_action_logs,admin_id,integer,YES,null
admin_action_logs,action_performed,text,YES,null
admin_action_logs,target_entity,character varying,YES,null
admin_action_logs,date_performed,timestamp without time zone,YES,CURRENT_TIMESTAMP
admin_action_logs,status,character varying,YES,null
adoption_applications,adoption_id,integer,NO,nextval('adoption_applications_adoption_id_seq'::regclass)
adoption_applications,user_id,integer,YES,null
adoption_applications,pet_id,integer,YES,null
adoption_applications,adopter_name,character varying,YES,null
adoption_applications,adopter_address,character varying,YES,null
adoption_applications,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
adoption_applications,status,character varying,YES,null
adoption_applications,age_of_youngest_child,integer,YES,null
adoption_applications,other_pets_details,text,YES,null
adoption_applications,other_pets_neutered,boolean,YES,null
adoption_applications,has_secure_outdoor_area,boolean,YES,null
adoption_applications,pet_sleep_location,character varying,YES,null
adoption_applications,pet_left_alone,text,YES,null
adoption_applications,additional_details,text,YES,null
adoption_applications,agree_to_terms,boolean,YES,null
adoption_applications,delivery,boolean,NO,false
cart_items,cart_item_id,bigint,NO,nextval('cart_items_cart_item_id_seq'::regclass)
cart_items,cart_id,bigint,NO,null
cart_items,product_id,bigint,NO,null
cart_items,quantity,integer,NO,null
cart_items,price,numeric,NO,null
cart_items,created_at,timestamp with time zone,YES,now()
cart_items,updated_at,timestamp with time zone,YES,now()
carts,cart_id,bigint,NO,nextval('carts_cart_id_seq'::regclass)
carts,user_id,bigint,YES,null
carts,guest_token,text,YES,null
carts,status,text,YES,'active'::text
carts,created_at,timestamp with time zone,YES,now()
carts,updated_at,timestamp with time zone,YES,now()
cities,city_id,integer,NO,nextval('cities_city_id_seq'::regclass)
cities,city_name,character varying,NO,null
clinics,clinic_id,bigint,NO,null
clinics,name,text,NO,null
clinics,address,text,NO,null
clinics,google_maps_link,text,YES,null
clinics,contact_number,text,YES,null
clinics,whatsapp_number,text,YES,null
clinics,logo_url,text,YES,null
clinics,operating_hours,text,YES,null
clinics,discount_details,text,YES,null
clinics,is_paltuu_partner,boolean,YES,false
clinics,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
issues,id,bigint,NO,nextval('issues_id_seq'::regclass)
issues,user_id,bigint,YES,null
issues,title,character varying,NO,null
issues,description,text,YES,null
issues,image_url,text,YES,null
issues,status,character varying,NO,'open'::character varying
issues,priority,smallint,NO,0
issues,created_at,timestamp with time zone,NO,now()
lost_and_found_post_images,image_id,integer,NO,nextval('lost_and_found_post_images_image_id_seq'::regclass)
lost_and_found_post_images,post_id,integer,NO,null
lost_and_found_post_images,image_url,character varying,NO,null
lost_and_found_post_images,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
lost_and_found_posts,post_id,integer,NO,nextval('lost_and_found_posts_post_id_seq'::regclass)
lost_and_found_posts,user_id,integer,YES,null
lost_and_found_posts,post_type,character varying,YES,null
lost_and_found_posts,pet_description,text,YES,null
lost_and_found_posts,city_id,integer,YES,null
lost_and_found_posts,location,character varying,YES,null
lost_and_found_posts,contact_info,character varying,YES,null
lost_and_found_posts,post_date,timestamp without time zone,YES,CURRENT_TIMESTAMP
lost_and_found_posts,status,character varying,YES,'active'::character varying
lost_and_found_posts,category_id,integer,YES,null
lost_and_found_posts,date,date,YES,null
notifications,notification_id,integer,NO,nextval('notifications_notification_id_seq'::regclass)
notifications,user_id,integer,YES,null
notifications,notification_content,text,YES,null
notifications,notification_type,character varying,YES,null
notifications,date_sent,timestamp without time zone,YES,CURRENT_TIMESTAMP
notifications,is_read,boolean,YES,false
pet_category,category_id,integer,NO,nextval('pet_category_category_id_seq'::regclass)
pet_category,category_name,character varying,NO,null
pet_images,image_id,integer,NO,nextval('pet_images_image_id_seq'::regclass)
pet_images,pet_id,integer,YES,null
pet_images,image_url,character varying,YES,null
pet_images,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
pet_images,order,integer,YES,null
pets,pet_id,integer,NO,nextval('pets_pet_id_seq'::regclass)
pets,owner_id,integer,YES,null
pets,pet_name,character varying,NO,null
pets,pet_type,integer,YES,null
pets,pet_breed,character varying,YES,null
pets,city_id,integer,YES,null
pets,area,character varying,YES,null
pets,age,integer,YES,null
pets,description,character varying,YES,null
pets,adoption_status,character varying,YES,null
pets,price,numeric,YES,0